[2025-06-24 19:09:56,251] [INFO] [root] - Shutting down logging.
[2025-06-24 19:09:56,251] [INFO] [root] - Application shutdown complete
[2025-06-24 19:09:57,146] [INFO] [root] - Logging has been initialized.
[2025-06-24 19:09:57,146] [INFO] [root] - Loaded extensions.ext_logging in 0.57ms
[2025-06-24 19:09:57,161] [INFO] [root] - Loaded extensions.ext_database in 13.60ms
[2025-06-24 19:09:57,161] [INFO] [root] - Application startup finished in 14.81ms
[2025-06-24 19:09:57,161] [INFO] [root] - engine in lifespan: Engine(sqlite:///./database.db)
[2025-06-24 19:10:25,572] [INFO] [root] - Shutting down logging.
[2025-06-24 19:10:25,572] [INFO] [root] - Application shutdown complete
[2025-06-24 19:10:26,412] [INFO] [root] - Logging has been initialized.
[2025-06-24 19:10:26,412] [INFO] [root] - Loaded extensions.ext_logging in 0.52ms
[2025-06-24 19:10:26,426] [INFO] [root] - Loaded extensions.ext_database in 14.22ms
[2025-06-24 19:10:26,426] [INFO] [root] - Application startup finished in 15.30ms
[2025-06-24 19:10:26,427] [INFO] [root] - engine in lifespan: Engine(sqlite:///./database.db)
[2025-06-24 19:10:32,733] [INFO] [root] - Shutting down logging.
[2025-06-24 19:10:32,733] [INFO] [root] - Application shutdown complete
[2025-06-24 19:10:33,609] [INFO] [root] - Logging has been initialized.
[2025-06-24 19:10:33,609] [INFO] [root] - Loaded extensions.ext_logging in 0.51ms
[2025-06-24 19:10:33,621] [INFO] [root] - Loaded extensions.ext_database in 12.04ms
[2025-06-24 19:10:33,621] [INFO] [root] - Application startup finished in 12.99ms
[2025-06-24 19:10:33,621] [INFO] [root] - engine in lifespan: Engine(sqlite:///./database.db)
[2025-06-24 19:11:02,766] [INFO] [root] - Shutting down logging.
[2025-06-24 19:11:02,766] [INFO] [root] - Application shutdown complete
